mean 100 episode reward,steps,episodes,% time spent exploring
-0.6,1677,100,98
-0.7,3283,200,96
-0.5,5011,300,95
-0.6,6716,400,93
-0.5,8526,500,91
-0.6,10206,600,89
-0.5,11999,700,88
-0.6,13712,800,86
-0.3,15744,900,84
-0.4,17580,1000,82
,19924,1100,80
-0.4,21862,1200,78
-0.2,23944,1300,76
,26291,1400,73
-0.2,28405,1500,71
0.2,30934,1600,69
0.4,33783,1700,66
-0.1,36088,1800,64
0.2,38683,1900,61
,41050,2000,59
0.4,43871,2100,56
0.6,46874,2200,53
1.1,50404,2300,50
0.4,53204,2400,47
0.8,56474,2500,44
1.5,60518,2600,40
2.0,65157,2700,35
2.2,69999,2800,30
2.9,75716,2900,25
5.8,84627,3000,16
19.4,109122,3100,1
156.0,289026,3200,1
170.0,485148,3300,1
120.1,624266,3400,1
157.0,805592,3500,1
110.5,934048,3600,1
