steps,episodes,mean 100 episode reward,% time spent exploring
9211,100,-15.8,99
18146,200,-15.9,98
27434,300,-15.9,98
36833,400,-15.8,97
45693,500,-15.9,97
54849,600,-16.0,96
64268,700,-15.9,96
73515,800,-15.9,95
83529,900,-15.8,94
92836,1000,-15.9,94
102483,1100,-15.8,93
112378,1200,-15.8,93
122518,1300,-15.8,92
131860,1400,-15.9,91
141812,1500,-15.8,91
151745,1600,-15.8,90
161532,1700,-15.9,90
171208,1800,-15.9,89
181194,1900,-15.9,88
191459,2000,-15.8,88
201477,2100,-15.9,87
211656,2200,-15.8,86
222296,2300,-15.9,86
232804,2400,-15.8,85
242954,2500,-15.8,84
253550,2600,-15.9,84
264385,2700,-15.8,83
274964,2800,-15.9,82
286613,2900,-15.8,82
297406,3000,-15.8,81
308425,3100,-15.8,80
320343,3200,-15.8,80
332878,3300,-15.8,79
343789,3400,-15.8,78
355844,3500,-15.8,77
368099,3600,-15.9,77
380525,3700,-15.7,76
393877,3800,-15.7,75
406846,3900,-15.7,74
419289,4000,-15.8,74
433461,4100,-15.7,73
447683,4200,-15.8,72
461732,4300,-15.7,71
474802,4400,-15.8,70
487739,4500,-15.7,69
501919,4600,-15.8,68
516201,4700,-15.7,68
530961,4800,-15.6,67
546368,4900,-15.7,66
561846,5000,-15.7,65
578656,5100,-15.6,64
594436,5200,-15.7,63
610201,5300,-15.6,62
627909,5400,-15.7,61
645653,5500,-15.7,60
663269,5600,-15.6,58
681186,5700,-15.7,57
699280,5800,-15.6,56
718496,5900,-15.6,55
738577,6000,-15.5,54
758543,6100,-15.7,53
779141,6200,-15.5,51
800305,6300,-15.5,50
822343,6400,-15.4,49
846509,6500,-15.4,47
871668,6600,-15.3,46
896049,6700,-15.4,44
922454,6800,-15.3,42
948585,6900,-15.3,41
977250,7000,-15.1,39
1006872,7100,-15.2,37
1038552,7200,-15.1,35
1073468,7300,-15.0,33
1109813,7400,-14.8,31
1149231,7500,-14.7,28
1194502,7600,-14.4,26
1245093,7700,-14.3,22
1302635,7800,-14.1,19
1378273,7900,-13.2,14
1473155,8000,-12.5,8
1680485,8100,-1.0,1
1929657,8200,7.4,1
